epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2802.3,1.49092,0.87708,0.79138,0.78267,0.4704,0.52334,0.31631,1.47481,0.87845,0.79059,0.000540037,0.000540037,0.000540037
43,2918.23,1.51574,0.8984,0.78522,0.71664,0.48453,0.52157,0.31276,1.46002,0.85862,0.79326,0.000531038,0.000531038,0.000531038
44,3050.81,1.50874,0.89643,0.78964,0.75433,0.47967,0.53147,0.32658,1.44953,0.84202,0.78977,0.000522039,0.000522039,0.000522039
45,3184.92,1.50615,0.88892,0.78834,0.74538,0.48474,0.53123,0.32111,1.43714,0.84227,0.79019,0.00051304,0.00051304,0.00051304
46,3318.58,1.48728,0.86639,0.79448,0.74625,0.48155,0.52925,0.32041,1.45506,0.8404,0.7917,0.00050404,0.00050404,0.00050404
47,3455.17,1.5019,0.86799,0.7919,0.75808,0.49355,0.54182,0.32619,1.45336,0.84147,0.7959,0.000495041,0.000495041,0.000495041
48,3574.46,1.4752,0.84643,0.78829,0.77827,0.48287,0.53668,0.32907,1.43739,0.82845,0.79436,0.000486042,0.000486042,0.000486042
49,3697.45,1.46614,0.84054,0.79044,0.79197,0.46439,0.53066,0.32219,1.43931,0.84588,0.79076,0.000477043,0.000477043,0.000477043
50,3820.49,1.45962,0.83735,0.79257,0.77952,0.49778,0.54233,0.33062,1.42938,0.81599,0.79245,0.000468044,0.000468044,0.000468044
51,3941.83,1.45204,0.82038,0.79448,0.7694,0.49535,0.54396,0.33143,1.43299,0.82931,0.79149,0.000459045,0.000459045,0.000459045
52,4067.12,1.47515,0.82457,0.78419,0.78003,0.48039,0.54005,0.33301,1.42959,0.83958,0.79136,0.000450046,0.000450046,0.000450046
53,4192.97,1.4635,0.83089,0.78993,0.74741,0.49815,0.53864,0.33063,1.41883,0.81743,0.79217,0.000441047,0.000441047,0.000441047
54,4318.59,1.4456,0.81643,0.7857,0.80663,0.48026,0.54328,0.33529,1.4192,0.80611,0.7897,0.000432048,0.000432048,0.000432048
55,4446,1.42291,0.80609,0.78348,0.78409,0.49039,0.54475,0.33172,1.42527,0.81293,0.79422,0.000423049,0.000423049,0.000423049
56,4572.24,1.43418,0.80483,0.78135,0.77625,0.49859,0.54388,0.3346,1.41467,0.80906,0.79067,0.000414049,0.000414049,0.000414049
57,4698.46,1.42215,0.80207,0.78466,0.76739,0.50609,0.54953,0.33439,1.41229,0.80089,0.78933,0.00040505,0.00040505,0.00040505
58,4824.55,1.43621,0.80687,0.7842,0.78383,0.50388,0.55248,0.33477,1.42298,0.79693,0.78971,0.000396051,0.000396051,0.000396051
59,4954.57,1.42655,0.78595,0.78876,0.79595,0.48875,0.5486,0.3391,1.40614,0.79126,0.78735,0.000387052,0.000387052,0.000387052
60,120.744,1.44583,0.82328,0.77671,0.80525,0.49598,0.54938,0.33629,1.41867,0.81612,0.78814,0.000378053,0.000378053,0.000378053
61,251.473,1.42337,0.77602,0.77829,0.80956,0.5032,0.55803,0.33893,1.39828,0.79891,0.78824,0.000369054,0.000369054,0.000369054
62,386.908,1.38924,0.74755,0.78219,0.77522,0.5124,0.56166,0.34138,1.41196,0.78651,0.79107,0.000360055,0.000360055,0.000360055
63,521.082,1.38225,0.75904,0.78142,0.81893,0.49672,0.56373,0.34723,1.40148,0.78425,0.78889,0.000351056,0.000351056,0.000351056
64,656.578,1.40155,0.75671,0.77793,0.82942,0.50457,0.55986,0.34746,1.39893,0.78235,0.78682,0.000342057,0.000342057,0.000342057
65,792.458,1.36938,0.73564,0.77893,0.84605,0.50291,0.56406,0.3508,1.3854,0.77529,0.78508,0.000333058,0.000333058,0.000333058
66,932.804,1.39293,0.74871,0.77303,0.79936,0.50798,0.55547,0.34353,1.38343,0.78968,0.78391,0.000324058,0.000324058,0.000324058
67,1076.15,1.37552,0.73306,0.77729,0.79514,0.50581,0.55903,0.34335,1.38927,0.78908,0.7845,0.000315059,0.000315059,0.000315059
